removed_yr,BrandName,ProductName,chemical_count
2009,KORRES NATURAL PRODUCTS,CHERRY GLOSS 37 GOLDEN BROWN,1
2009,KORRES NATURAL PRODUCTS,CHERRY GLOSS 44 ORANGE,1
2009,KORRES NATURAL PRODUCTS,CHERRY GLOSS 45 CORAL,1
2009,KORRES NATURAL PRODUCTS,CHERRY GLOSS 52 RED,1
2009,KORRES NATURAL PRODUCTS,CHERRY GLOSS 54 FUCHSIA,1
2009,KORRES NATURAL PRODUCTS,CHERRY GLOSS NAKED BEIGE 30,1
2009,KORRES NATURAL PRODUCTS,CHERRY GLOSS NAKED BROWN 38,1
2009,KORRES NATURAL PRODUCTS,CHERRY GLOSS NAKED ROSE 22,1
2009,KORRES NATURAL PRODUCTS,CHERRY LIP GLOSS 11 LIGHT PINK,1
2009,KORRES NATURAL PRODUCTS,CHERRY LIP GLOSS 25 NATURAL PURPLE,1
2009,KORRES NATURAL PRODUCTS,CORALLINA EYESHADOW SHIMMERING 44S GOLDEN GREEN,1
2009,KORRES NATURAL PRODUCTS,EYEBROW PENCIL_ MEDIUM SHADE,1
2009,KORRES NATURAL PRODUCTS,EYEBROW PENCIL_DARK SHADE,1
2009,KORRES NATURAL PRODUCTS,EYEBROW PENCIL_LIGHT SHADE,1
2009,KORRES NATURAL PRODUCTS,EYELINER PENCIL_BLUE,1
2009,KORRES NATURAL PRODUCTS,EYELINER PENCIL_BLUE BLACK,1
2009,KORRES NATURAL PRODUCTS,EYELINER PENCIL_BLUE PETROL,1
2009,KORRES NATURAL PRODUCTS,EYELINER PENCIL_BROWN,1
2009,KORRES NATURAL PRODUCTS,EYELINER PENCIL_GOLDEN,1
2009,KORRES NATURAL PRODUCTS,EYELINER PENCIL_GREEN,1
2009,KORRES NATURAL PRODUCTS,EYELINER PENCIL_GREEN WHITE,1
2009,KORRES NATURAL PRODUCTS,EYELINER PENCIL_LIGHT GREY,1
2009,KORRES NATURAL PRODUCTS,EYELINER PENCIL_METALLIC GREY,1
2009,KORRES NATURAL PRODUCTS,EYELINER PENCIL_OLIVE GREEN,1
2009,KORRES NATURAL PRODUCTS,EYELINER PENCIL_PURPLE WHITE,1
2009,KORRES NATURAL PRODUCTS,EYELINER PENCIL_SKY BLUE,1
2009,KORRES NATURAL PRODUCTS,KORRES ABYSSINIA MASCARA_ 04 PLUM,2
2009,KORRES NATURAL PRODUCTS,KORRES ABYSSINIA OIL MASCARA _ 02 BROWN,2
2009,KORRES NATURAL PRODUCTS,KORRES ABYSSINIA OIL MASCARA_ 01 BLACK,2
2009,KORRES NATURAL PRODUCTS,KORRES ABYSSINIA OIL MASCARA_ 03 BLUE,2
2009,KORRES NATURAL PRODUCTS,LIP BUTTER GUAVA,2
2009,KORRES NATURAL PRODUCTS,LIPLINER PENCIL NEUTRAL LIGHT,1
2009,KORRES NATURAL PRODUCTS,LIPLINER PENCIL_BROWN ORANGE,1
2009,KORRES NATURAL PRODUCTS,LIPLINER PENCIL_NEUTRAL DARK,1
2009,KORRES NATURAL PRODUCTS,LIPLINER PENCIL_PURPLE RED,1
2009,KORRES NATURAL PRODUCTS,LIPLINER PENCIL_RED,1
2009,KORRES NATURAL PRODUCTS,MANGO BUTTER LIPSTICK SPF 10  NATURAL PURPLE 25,1
2009,KORRES NATURAL PRODUCTS,MANGO BUTTER LIPSTICK SPF 10 CORAL 45,1
2009,KORRES NATURAL PRODUCTS,MANGO BUTTER LIPSTICK SPF 10 FROST PINK 12,1
2009,KORRES NATURAL PRODUCTS,MANGO BUTTER LIPSTICK SPF 10 FUCHSIA 54,1
2009,KORRES NATURAL PRODUCTS,MANGO BUTTER LIPSTICK SPF 10 NAKED BROWN 38,1
2009,KORRES NATURAL PRODUCTS,MANGO BUTTER LIPSTICK SPF 10 NAKED ROSE 22,1
2009,KORRES NATURAL PRODUCTS,MANGO BUTTER LIPSTICK SPF 10 NATURAL BROWN 36,1
2009,KORRES NATURAL PRODUCTS,MANGO BUTTER LIPSTICK SPF 10 NATURAL PINK 13,1
2009,KORRES NATURAL PRODUCTS,MANGO BUTTER LIPSTICK SPF 10 NUDE 33,1
2009,KORRES NATURAL PRODUCTS,MANGO BUTTER LIPSTICK SPF 10 ORANGE BROWN 47,1
2009,KORRES NATURAL PRODUCTS,MANGO BUTTER LIPSTICK SPF 10 ORANGE RED 52,1
2009,KORRES NATURAL PRODUCTS,MANGO BUTTER LIPSTICK SPF 10 PEACH 18,1
2009,KORRES NATURAL PRODUCTS,MANGO BUTTER LIPSTICK SPF 10 PINK 14,1
2009,KORRES NATURAL PRODUCTS,MANGO BUTTER LIPSTICK SPF 10 PURPLE 24,1
2009,KORRES NATURAL PRODUCTS,MULTIVITAMIN COMPACT POWDER MVP 1,1
2009,KORRES NATURAL PRODUCTS,MULTIVITAMIN COMPACT POWDER MVP 2,1
2009,KORRES NATURAL PRODUCTS,MULTIVITAMIN COMPACT POWDER MVP 3,1
2009,KORRES NATURAL PRODUCTS,MULTIVITAMIN COMPACT POWDER MVP 4,1
2009,KORRES NATURAL PRODUCTS,MULTIVITAMIN COMPACT POWDER MVP 5,1
2009,KORRES NATURAL PRODUCTS,PROVITAMIN B5 & RICE BRAN MASCARA 03 GREY GREEN,1
2009,KORRES NATURAL PRODUCTS,PROVITAMIN B5 & RICE BRAN MASCARA 04 BLUE BLACK,1
2009,KORRES NATURAL PRODUCTS,SOFT EYELINER PENCIL LIGHT BLUE 3S,1
2009,KORRES NATURAL PRODUCTS,SOFT EYELINER PENCIL SILVER 5S,1
2009,KORRES NATURAL PRODUCTS,SOFT EYELINER PENCIL_ WHITE 2S,1
2009,KORRES NATURAL PRODUCTS,SUNFLOWER & EVENING PRIMROSE EYESHADOW SHIMMERING 10S WHITE,1
2009,KORRES NATURAL PRODUCTS,SUNFLOWER & EVENING PRIMROSE EYESHADOW SHIMMERING 27S  GOLDEN BRONZE,1
2009,KORRES NATURAL PRODUCTS,SUNFLOWER & EVENING PRIMROSE EYESHADOW SHIMMERING 51S SILVER,1
2009,KORRES NATURAL PRODUCTS,SUNFLOWER & EVENING PRIMROSE EYESHADOW SHIMMERING 75S PURPLE,1
2009,KORRES NATURAL PRODUCTS,SUNFLOWER & EVENING PRIMROSE EYESHADOW SHIMMERING PLUM,1
2009,KORRES NATURAL PRODUCTS,SUNFLOWER & EVENING PRIMROSE EYESHADOW SHIMMERING SKY BLUE,1
2009,KORRES NATURAL PRODUCTS,SUNFLOWER EYESHADOW SHIMMERING 12S BASE,1
2009,KORRES NATURAL PRODUCTS,SUNFLOWER EYESHADOW SHIMMERING 18S GREY BROWN BASE,1
2009,KORRES NATURAL PRODUCTS,SUNFLOWER EYESHADOW SHIMMERING 22S ORANGE,1
2009,KORRES NATURAL PRODUCTS,SUNFLOWER EYESHADOW SHIMMERING 24S GOLD,1
2009,KORRES NATURAL PRODUCTS,SUNFLOWER EYESHADOW SHIMMERING 42S GREEN WHITE,1
2009,KORRES NATURAL PRODUCTS,SUNFLOWER EYESHADOW SHIMMERING 46S OLIVE GREEN,1
2009,KORRES NATURAL PRODUCTS,SUNFLOWER EYESHADOW SHIMMERING 54S DARK GREY,1
2009,KORRES NATURAL PRODUCTS,SUNFLOWER EYESHADOW SHIMMERING 64S PINK,1
2009,KORRES NATURAL PRODUCTS,SUNFLOWER EYESHADOW SHIMMERING 74S LIGHT PURPLE,1
2009,KORRES NATURAL PRODUCTS,SUNFLOWER EYESHADOW SHIMMERING 82S  LIGHT BLUE,1
2009,KORRES NATURAL PRODUCTS,THYME HONEY 24-HOUR MOISTURIZING CREAM,1
2009,KORRES NATURAL PRODUCTS,WILD ROSE 24-HOUR MOISTURISER,1
2009,KORRES NATURAL PRODUCTS,WILD ROSE COMPACT POWDER WRP1,1
2009,KORRES NATURAL PRODUCTS,WILD ROSE COMPACT POWDER WRP2,1
2009,KORRES NATURAL PRODUCTS,WILD ROSE COMPACT POWDER WRP3,1
2009,KORRES NATURAL PRODUCTS,WILD ROSE COMPACT POWDER WRP4,1
2009,KORRES NATURAL PRODUCTS,WILD ROSE COMPACT POWDER WRP5,1
2009,KORRES NATURAL PRODUCTS,WILD ROSE CONCEALER WRC1,1
2009,KORRES NATURAL PRODUCTS,WILD ROSE CONCEALER WRC2,1
2009,KORRES NATURAL PRODUCTS,WILD ROSE CONCEALER WRC4,1
2009,KORRES NATURAL PRODUCTS,WILD ROSE FOUNDATION SPF 20 WRF1,2
2009,KORRES NATURAL PRODUCTS,ZEA MAYS BLUSH 15 NATURAL,1
2009,KORRES NATURAL PRODUCTS,ZEA MAYS BLUSH 16 PINK,1
2009,KORRES NATURAL PRODUCTS,ZEA MAYS BLUSH 18 PEACH,1
2009,KORRES NATURAL PRODUCTS,ZEA MAYS BLUSH 22 PURPLE,1
2009,KORRES NATURAL PRODUCTS,ZEA MAYS BLUSH 32 PURPLE BROWN,1
2009,KORRES NATURAL PRODUCTS,ZEA MAYS BLUSH 44 ORANGE,1
2009,KORRES NATURAL PRODUCTS,ZEA MAYS BLUSH 45 CORAL,1
2009,KORRES NATURAL PRODUCTS,ZEA MAYS BLUSH 47 ORANGE BROWN,1
2009,Kandesn,Cleansing Cream,2
2009,Kandesn,Cleansing Foam,2
2009,Kandesn,Dandruff Shampoo,2
2009,Kandesn,Deep Moisture Lotion,2
2009,Kandesn,Eyeshadow,1
2009,Kandesn,Gentle Cleanser,1
2009,Kandesn,LIp Gloss,2
2009,Kandesn,Moisturizing Lip Colors,2
2009,Kandesn,Revitalizing Masque,2
2009,Kandesn,Shampoo,1
2009,Laboratoire Remede,Translucent UV Coat,2
2009,Liz Claiborne,Claiborne For Men Cologne Spray,1
2009,Liz Claiborne,Liz Claiborne Eau De Parfum,1
2009,Luminelle,Rouge dragee lipstick,1
2009,Luminelle,Rouge glossy lipstick,1
2009,MAKE UP FOR EVER,ANTICERNES TENSEUR / LIFT CONCEALER (ALL SHADES),1
2009,MAKE UP FOR EVER,AQUA CREAMLINER EYELINER CREME WATERPROOF/WATERPROOF CREAM EYELINER (ALL SHADES),1
2009,MAKE UP FOR EVER,"AQUA EYES Crayon contour des yeux waterproof /Waterproof eyeliner pencil	 (ALL SHADES)	",1
2009,MAKE UP FOR EVER,AQUA LIP CRAYON CONTOUR DES LEVRES WATERPROOF/WATERPROOF LIPLINER PENCIL (ALL SHADES),1
2009,MAKE UP FOR EVER,AQUARELLE FLUIDE COLORE VISAGE ET CORPS/FACE & BODY LIQUID COLOR (ALL SHADES),1
2009,MAKE UP FOR EVER,BASE DE PRE-MAQUILLAGE CORRECTRICE /CORRECTIVE MAKE-UP BASE,2
2009,MD Formulations,Clearing Intensifier,1
2009,MD Formulations,Extra Clear Booster,1
2009,MD Formulations,Hand & Body Creme,1
2009,MD Formulations,Vit-A-Plus Anti-Aging Eye Complex,2
2009,MD Formulations,Vit-A-Plus Clearing Complexion Masque,1
2009,MD Formulations,Vit-A-Plus Firming Treatment Masque,1
2009,MD Formulations,Vit-A-Plus Illuminating Masque,1
2009,Mannatech,Optimal Face Cleansing Cream,2
2009,Mannatech Advanced Skin Care,"Emprizone soothing, hydrating gel",1
2009,Mary Kay,Intense Moisturizing Cream,1
2009,Molton Brown,Bracing Silverbirch Thermal Muscle Soak,1
2009,NOEVIR,N5 SPARKLE FACE COLOR CT AR-BE,1
2009,NSI,Balance Body Builder Cover Pink Warm,2
2009,NSI,Balance Builder Blush Gel,2
2009,NSI,Balance Builder Radiant Pink Gel,1
2009,NSI,Balance One Step Blush Gel,1
2009,NUXE,TOUCHE PRODIGIEUSE N�01 FAIR SKIN-MULTI-PERFECTING RETOUCH BRUSH,1
2009,NYX,AUTO PENCIL LIP,1
2009,NYX,BLACK LABEL LIPSTICK,1
2009,NYX,POWDER BLUSH,1
2009,NYX,ROUND LIP GLOSS,1
2009,NYX,SHEER TUBE LIP GLOSS,1
2009,NYX,TRIO EYESHADOW,1
